3-Oct-21,962
4-Oct-21,979
5-Oct-21,1133
6-Oct-21,1088
7-Oct-21,1218
8-Oct-21,1074
9-Oct-21,1238
10-Oct-21,1178
11-Oct-21,1084
12-Oct-21,1375
13-Oct-21,1457
14-Oct-21,1419
15-Oct-21,1451
16-Oct-21,1441
17-Oct-21,1357
18-Oct-21,1267
19-Oct-21,1598
20-Oct-21,1529
21-Oct-21,1531
22-Oct-21,1634
23-Oct-21,1721
24-Oct-21,1442
25-Oct-21,1335
26-Oct-21,1604
27-Oct-21,1523
28-Oct-21,1679
29-Oct-21,1609
30-Oct-21,1520
31-Oct-21,1548
1-Nov-21,1359
2-Nov-21,1568
3-Nov-21,1536
4-Nov-21,1580
5-Nov-21,1508
6-Nov-21,1486
7-Nov-21,1485
8-Nov-21,1297
9-Nov-21,1437
10-Nov-21,1327
11-Nov-21,1231
12-Nov-21,1273
13-Nov-21,1160
14-Nov-21,1085
15-Nov-21,1007
16-Nov-21,1029
17-Nov-21,940
18-Nov-21,937
19-Nov-21,924
20-Nov-21,974
21-Nov-21,882
22-Nov-21,848
23-Nov-21,975
24-Nov-21,906
25-Nov-21,865
26-Nov-21,916
27-Nov-21,918
28-Nov-21,807
29-Nov-21,747
30-Nov-21,951
1-Dec-21,905
2-Dec-21,869
3-Dec-21,815
4-Dec-21,865
5-Dec-21,842
6-Dec-21,767
7-Dec-21,896
8-Dec-21,919
9-Dec-21,845
10-Dec-21,800
11-Dec-21,760
12-Dec-21,714
13-Dec-21,704
14-Dec-21,822
15-Dec-21,780
16-Dec-21,760
17-Dec-21,800
18-Dec-21,811
19-Dec-21,717
20-Dec-21,704
21-Dec-21,795
22-Dec-21,694
23-Dec-21,714
24-Dec-21,756
25-Dec-21,748
26-Dec-21,708
27-Dec-21,658
28-Dec-21,705
29-Dec-21,730
30-Dec-21,699
31-Dec-21,691
1-Jan-22,560
2-Jan-22,656
3-Jan-22,647
4-Jan-22,737
5-Jan-22,713
6-Jan-22,724
7-Jan-22,783
8-Jan-22,708
9-Jan-22,678
10-Jan-22,708
11-Jan-22,787
12-Jan-22,777
13-Jan-22,767
14-Jan-22,744
15-Jan-22,879
